,brand,model,registration_year,fuel_type,seats,rto_state,transmission_type,ownership,engine(cc),kms_driven,engine_power(bhp),mileage(kmpl),has_parking_sensors,has_automatic_climate_control,has_rear_ac_vents,has_central_locking,has_air_purifier,vehicle_price(lakhs),new_vehicle_price(lakhs)
0,Toyota,Etios,2013,Diesel,5 Seats,Rajasthan,Manual,Fourth Owner,1364,150000,73.348,22.231,0,0,0,0,0,2.6,8.05
1,Toyota,Glanza,2024,Petrol,5 Seats,Punjab,Manual,First Owner,1197,10000,82.827,21.468,0,0,0,0,0,9.4,11.28
2,Hyundai,Creta,2017,Diesel,5 Seats,Haryana,Manual,First Owner,1396,75000,88.281,21.917,0,0,0,0,0,6.25,11.86
3,Volkswagen,Vento,2011,Diesel,5 Seats,Punjab,Manual,Third Owner,1598,160000,103.6,20.54,1,0,0,0,0,1.4,10.05
4,Hyundai,Verna,2014,Diesel,5 Seats,Uttar Pradesh,Manual,First Owner,1582,120000,126.3,22.32,1,1,0,0,0,4.0,11.87
5,Hyundai,Santro,2012,LPG,5 Seats,Punjab,Manual,Third Owner,1086,147000,62.1,10.76,0,0,0,1,0,1.0,4.71
6,Hyundai,i20,2023,Petrol,5 Seats,Haryana,Manual,First Owner,1197,9400,83.89,17.76,0,0,0,0,0,6.85,8.45
7,Tata,Harrier,2021,Diesel,5 Seats,Rajasthan,Manual,First Owner,1956,50000,167.67,16.35,0,1,0,0,1,15.0,25.54
8,Tata,Nexon,2019,Diesel,5 Seats,Haryana,Manual,Second Owner,1497,71000,108.5,21.5,1,0,0,0,0,5.1,10.39
9,Hyundai,Creta,2019,Diesel,5 Seats,Haryana,Manual,Second Owner,1396,81000,88.7,21.38,0,0,1,0,0,8.1,13.01
10,Mahindra,Bolero,2014,Diesel,7 Seats,Rajasthan,Manual,Third Owner,2523,196472,62.1,15.96,0,0,0,0,0,5.15,11.03
11,Mahindra,XUV500,2017,Diesel,7 Seats,Chandigarh,Manual,First Owner,2179,110000,140.0,16.0,0,1,0,0,1,6.9,19.82
12,Maruti,Swift,2020,Petrol,5 Seats,Haryana,Manual,First Owner,1197,65000,81.8,21.21,1,1,1,0,0,6.55,8.47
13,Mahindra,Bolero,2014,Diesel,7 Seats,Rajasthan,Manual,First Owner,2523,175847,62.1,15.96,0,0,0,0,0,5.4,9.95
14,Hyundai,Creta,2021,Diesel,5 Seats,Rajasthan,Manual,First Owner,1493,79000,113.98,18.697,1,0,1,0,0,11.0,14.28
15,Skoda,Octavia,2014,Diesel,5 Seats,Rajasthan,Manual,Second Owner,1968,90463,141.0,20.6,0,0,0,0,1,4.8,18.36
16,Maruti,Ciaz,2016,Diesel,5 Seats,Haryana,Manual,Second Owner,1248,80000,88.5,28.09,1,1,1,0,0,4.5,10.91
17,Honda,Mobilio,2014,Diesel,7 Seats,Haryana,Manual,Second Owner,1498,100000,98.6,24.2,0,0,0,0,0,3.5,10.16
18,Maruti,Swift,2012,Petrol,5 Seats,Delhi,Manual,First Owner,1197,84476,85.8,18.6,0,0,0,1,0,2.7,5.77
19,Maruti,Wagon,2010,CNG,5 Seats,Delhi,Manual,Second Owner,998,90000,58.2,26.2,0,0,0,1,0,1.2,4.95
